horizon,target_ic,n,power,false_negative_rate,n_seeds
1m,0.0,421,0.02,,300
1m,0.01,421,0.025,0.975,300
1m,0.02,421,0.05,0.95,300
1m,0.03,421,0.1,0.9,300
1m,0.04,421,0.175,0.825,300
1m,0.05,421,0.14,0.86,300
1m,0.07,421,0.29,0.71,300
1m,0.1,421,0.535,0.46499999999999997,300
1m,0.12,421,0.69,0.31000000000000005,200
1m,0.15,421,0.895,0.10499999999999998,200
1m,0.2,421,0.97,0.030000000000000027,200
1m,0.25,421,1.0,0.0,200
1m,0.3,421,1.0,0.0,200
1m,0.4,421,1.0,0.0,200
1w,0.0,1264,0.025,,300
1w,0.01,1264,0.11,0.89,300
1w,0.02,1264,0.095,0.905,300
1w,0.03,1264,0.2,0.8,300
1w,0.04,1264,0.28,0.72,300
1w,0.05,1264,0.445,0.5549999999999999,300
1w,0.07,1264,0.735,0.265,300
1w,0.1,1264,0.9,0.09999999999999998,300
1y,0.0,47,0.095,,300
1y,0.01,47,0.125,0.875,300
1y,0.02,47,0.125,0.875,300
1y,0.03,47,0.125,0.875,300
1y,0.04,47,0.16,0.84,300
1y,0.05,47,0.19,0.81,300
1y,0.07,47,0.175,0.825,300
1y,0.1,47,0.235,0.765,300
1y,0.12,47,0.325,0.675,200
1y,0.15,47,0.405,0.595,200
1y,0.2,47,0.49,0.51,200
1y,0.25,47,0.66,0.33999999999999997,200
1y,0.3,47,0.735,0.265,200
1y,0.4,47,0.915,0.08499999999999996,200
2w,0.0,1264,0.035,,300
2w,0.01,1264,0.08,0.92,300
2w,0.02,1264,0.12,0.88,300
2w,0.03,1264,0.17,0.83,300
2w,0.04,1264,0.28,0.72,300
2w,0.05,1264,0.425,0.575,300
2w,0.07,1264,0.655,0.345,300
2w,0.1,1264,0.91,0.08999999999999997,300
3m,0.0,180,0.02,,300
3m,0.01,180,0.06,0.94,300
3m,0.02,180,0.03,0.97,300
3m,0.03,180,0.095,0.905,300
3m,0.04,180,0.125,0.875,300
3m,0.05,180,0.14,0.86,300
3m,0.07,180,0.17,0.83,300
3m,0.1,180,0.245,0.755,300
3m,0.12,180,0.445,0.5549999999999999,200
3m,0.15,180,0.535,0.46499999999999997,200
3m,0.2,180,0.755,0.245,200
3m,0.25,180,0.96,0.040000000000000036,200
3m,0.3,180,0.99,0.010000000000000009,200
3m,0.4,180,1.0,0.0,200
6m,0.0,94,0.055,,300
6m,0.01,94,0.065,0.935,300
6m,0.02,94,0.05,0.95,300
6m,0.03,94,0.08,0.92,300
6m,0.04,94,0.055,0.945,300
6m,0.05,94,0.165,0.835,300
6m,0.07,94,0.14,0.86,300
6m,0.1,94,0.22,0.78,300
6m,0.12,94,0.27,0.73,200
6m,0.15,94,0.36,0.64,200
6m,0.2,94,0.495,0.505,200
6m,0.25,94,0.725,0.275,200
6m,0.3,94,0.825,0.17500000000000004,200
6m,0.4,94,0.985,0.015000000000000013,200
